Frame,L_Shoulder_x,L_Shoulder_y,L_Elbow_x,L_Elbow_y,L_Wrist_x,L_Wrist_y,R_Shoulder_x,R_Shoulder_y,R_Elbow_x,R_Elbow_y,R_Wrist_x,R_Wrist_y
Frame7770,0.2702895402908325,0.43469202518463135,0.28595268726348877,0.35558247566223145,0.3094571828842163,0.2906959056854248,0.22886785864830017,0.4211823344230652,0.2180655300617218,0.33800381422042847,0.23929135501384735,0.2838130593299866
Frame7775,0.4909796714782715,0.3771026134490967,0.5102819204330444,0.2915368676185608,0.5306806564331055,0.22499972581863403,0.44481009244918823,0.3630163073539734,0.4339539408683777,0.263599157333374,0.44101959466934204,0.17809754610061646
Frame7780,0.7618132829666138,0.287278413772583,0.7834449410438538,0.2069694995880127,0.8169164657592773,0.15278154611587524,0.7091293334960938,0.26388198137283325,0.6916779279708862,0.12949919700622559,0.6984778642654419,0.03708738088607788
Frame7845,0.13157311081886292,0.4571492075920105,0.1360543668270111,0.3624473214149475,0.17049674689769745,0.3626190423965454,0.1341460645198822,0.44624608755111694,0.1370633989572525,0.348596453666687,0.17632201313972473,0.35490483045578003
Frame7850,0.43459242582321167,0.4709790349006653,0.42854976654052734,0.3964885473251343,0.451543390750885,0.38989943265914917,0.4030517637729645,0.4520968198776245,0.3926852345466614,0.3665056824684143,0.42830634117126465,0.3736531734466553
Frame7855,0.6448906660079956,0.4613434672355652,0.647039532661438,0.37750279903411865,0.7104504704475403,0.40440768003463745,0.6746905446052551,0.4582500457763672,0.682066798210144,0.3640297055244446,0.6915396451950073,0.30646902322769165
Frame7860,0.7430468201637268,0.5165601968765259,0.7299216985702515,0.46122539043426514,0.7475116848945618,0.45418280363082886,0.7857404947280884,0.5154021978378296,0.7914137840270996,0.45630979537963867,0.8021284341812134,0.42502927780151367
Frame7865,0.77846360206604,0.5583466291427612,0.7702672481536865,0.5112407207489014,0.7838470935821533,0.49112850427627563,0.8095088005065918,0.5548496246337891,0.8159891366958618,0.4977245330810547,0.8262243270874023,0.4516680836677551
Frame7870,0.8618539571762085,0.5735640525817871,0.8616117238998413,0.5303393602371216,0.0,1.0,0.8671985864639282,0.5673551559448242,0.8682738542556763,0.5232778787612915,0.8725879788398743,0.4922625422477722
Frame7875,0.8891409039497375,0.5789408683776855,0.8822706341743469,0.5401499271392822,0.8966063261032104,0.5205421447753906,0.8998166918754578,0.5736428499221802,0.901476263999939,0.5307554006576538,0.9136287569999695,0.5191166400909424
Frame7880,0.8967195749282837,0.5749863386154175,0.8852626085281372,0.5397144556045532,0.8928819894790649,0.5136264562606812,0.9000791311264038,0.5698579549789429,0.8931893110275269,0.5326796770095825,0.8986498713493347,0.5055935382843018
Frame7890,0.9063426852226257,0.5641558170318604,0.8987703323364258,0.5247265100479126,0.0,1.0,0.9097485542297363,0.557253360748291,0.8990470767021179,0.5134085416793823,0.8992609977722168,0.481609582901001
Frame7895,0.8957000970840454,0.5720518827438354,0.8838291168212891,0.5399349927902222,0.8901621103286743,0.5124534368515015,0.9060579538345337,0.5623562335968018,0.9034948348999023,0.5247431993484497,0.9084854125976562,0.5074036121368408
Frame7900,0.9036785960197449,0.5632823705673218,0.894801139831543,0.5219119787216187,0.9019477963447571,0.4894830584526062,0.9055498838424683,0.556059718132019,0.8932668566703796,0.5118145942687988,0.89424067735672,0.4775471091270447
Frame7915,0.9115994572639465,0.5528753995895386,0.9043591618537903,0.5199086666107178,0.9109259843826294,0.4998120665550232,0.912423312664032,0.5497113466262817,0.8994250297546387,0.511886477470398,0.9034668207168579,0.48823636770248413
Frame7920,0.9071885347366333,0.5639796257019043,0.8971245884895325,0.5239059925079346,0.9052268266677856,0.49394190311431885,0.9113503694534302,0.5575758218765259,0.8986529111862183,0.5154052972793579,0.8996807932853699,0.4850248694419861
Frame7925,0.895654559135437,0.5673103332519531,0.8844362497329712,0.5329326391220093,0.8897210359573364,0.5032151937484741,0.9069992899894714,0.5598568916320801,0.9034639596939087,0.5217301845550537,0.9059375524520874,0.5003963708877563
Frame7930,0.892179012298584,0.5724079608917236,0.8828393220901489,0.5413193702697754,0.8993850946426392,0.5189386606216431,0.9055609703063965,0.5628702640533447,0.9097098112106323,0.5259653329849243,0.9179547429084778,0.522127628326416
Frame7960,0.9064269065856934,0.562024712562561,0.8973061442375183,0.5282211303710938,0.0,1.0,0.9150416254997253,0.5527970790863037,0.9103775024414062,0.517845869064331,0.9124132990837097,0.5010112524032593
Frame7965,0.8975532650947571,0.5618470907211304,0.8923295736312866,0.5298254489898682,0.0,1.0,0.9069391489028931,0.553019642829895,0.9078251719474792,0.5159087181091309,0.9139706492424011,0.5088727474212646
Frame7970,0.8939927220344543,0.5708404779434204,0.889958381652832,0.5365934371948242,0.9050795435905457,0.5179386138916016,0.8954618573188782,0.5674283504486084,0.8926476240158081,0.5275431871414185,0.9046872854232788,0.512387752532959
Frame7975,0.9069516062736511,0.5568526983261108,0.900966465473175,0.5197579860687256,0.0,1.0,0.9088605642318726,0.5506436824798584,0.8966432809829712,0.5073796510696411,0.899208664894104,0.47448891401290894
Frame7995,0.9064912796020508,0.5610184669494629,0.8986347317695618,0.5238077640533447,0.9118665456771851,0.505677342414856,0.9145776629447937,0.551194429397583,0.9108701944351196,0.515470027923584,0.9178946614265442,0.498105525970459
Frame8000,0.9064342379570007,0.5554618835449219,0.8987264633178711,0.5210776329040527,0.0,1.0,0.9148832559585571,0.5484575033187866,0.9125622510910034,0.51221764087677,0.9161432981491089,0.4997798800468445
Frame8005,0.9057409167289734,0.5611045360565186,0.8965567350387573,0.5180424451828003,0.9006770849227905,0.4902016520500183,0.910879909992218,0.553134560585022,0.9016916155815125,0.5117918252944946,0.900967001914978,0.4822349548339844
Frame8010,0.8969718813896179,0.5645456314086914,0.8968764543533325,0.5332003831863403,0.9164412617683411,0.5246942043304443,0.9038074612617493,0.5584973096847534,0.9092699885368347,0.5211436748504639,0.9205832481384277,0.52174973487854
Frame8015,0.8890722990036011,0.566696286201477,0.8863372802734375,0.5345849990844727,0.9075313806533813,0.527755856513977,0.8975011706352234,0.5594419240951538,0.903457522392273,0.522355318069458,0.9140440225601196,0.5246039628982544
Frame8020,0.8976258039474487,0.5617938041687012,0.8904372453689575,0.5258374214172363,0.9032437205314636,0.5068446397781372,0.8973928689956665,0.5575754642486572,0.8905064463615417,0.5173417329788208,0.8958200216293335,0.4933735132217407
Frame8030,0.8958556056022644,0.5637857913970947,0.8888561129570007,0.5274107456207275,0.8954131007194519,0.501164436340332,0.8988334536552429,0.5590242147445679,0.8928356170654297,0.5195181369781494,0.8960631489753723,0.49194008111953735
Frame8035,0.889580249786377,0.577781081199646,0.8897415399551392,0.5352722406387329,0.9016367197036743,0.5160908699035645,0.887872576713562,0.5752872228622437,0.8847208023071289,0.5329846143722534,0.8983085751533508,0.515349268913269
Frame8040,0.8932402729988098,0.5752532482147217,0.8937309980392456,0.5321019887924194,0.9046271443367004,0.5129424333572388,0.8903099298477173,0.5721282958984375,0.8850539326667786,0.5311342477798462,0.8987213373184204,0.5128011703491211
Frame8045,0.8939319849014282,0.5692375898361206,0.8889287114143372,0.5359479188919067,0.8970649838447571,0.5133306980133057,0.8952678442001343,0.5651222467422485,0.8929527401924133,0.5265309810638428,0.899957001209259,0.5077733993530273
Frame8050,0.9097594022750854,0.5509458780288696,0.9016081690788269,0.5094258785247803,0.0,1.0,0.9129692316055298,0.5476961135864258,0.9027420878410339,0.5046155452728271,0.9068068265914917,0.47420215606689453
Frame8065,0.9007876515388489,0.563692569732666,0.8936017751693726,0.5228269100189209,0.9058089256286621,0.5041762590408325,0.9061613082885742,0.5575886964797974,0.8995676040649414,0.5127545595169067,0.9033230543136597,0.49121779203414917
Frame8070,0.8894058465957642,0.5692914724349976,0.8831050992012024,0.5353708267211914,0.8909598588943481,0.5159491300582886,0.8978563547134399,0.5608325004577637,0.9000713229179382,0.5208523273468018,0.9032209515571594,0.5036220550537109
Frame8075,0.8978931307792664,0.5669848918914795,0.8857893943786621,0.5341274738311768,0.0,1.0,0.8999029397964478,0.5634026527404785,0.8944581747055054,0.5268691778182983,0.8984088897705078,0.5064815282821655
Frame8080,0.8987604975700378,0.5707998275756836,0.8851358294487,0.5408049821853638,0.0,1.0,0.9070098996162415,0.561456561088562,0.8992277383804321,0.5232574939727783,0.903171718120575,0.49887847900390625
Frame8105,0.9022597074508667,0.5641529560089111,0.8972835540771484,0.5273288488388062,0.0,1.0,0.9105725288391113,0.5578194856643677,0.9078463315963745,0.5199320316314697,0.9103668928146362,0.4973716139793396
Frame8110,0.8902384042739868,0.5753130912780762,0.8779924511909485,0.5428240299224854,0.8831123113632202,0.5177695751190186,0.9055129885673523,0.563879132270813,0.9035196304321289,0.5246891975402832,0.9075485467910767,0.5057852268218994
Frame8125,0.9052422642707825,0.5648843050003052,0.8984866142272949,0.5241124629974365,0.9093060493469238,0.4956477880477905,0.912401556968689,0.5565156936645508,0.9037526249885559,0.5144965648651123,0.9064017534255981,0.4875118136405945
Frame8130,0.8905137181282043,0.5704289674758911,0.8895980715751648,0.5370413064956665,0.9142637252807617,0.5298252105712891,0.8994248509407043,0.5661078691482544,0.90619957447052,0.5307374000549316,0.9223860502243042,0.5305694341659546
